requirement_id,group,practice_question,formalization_class,proposed_formal_target,legal_or_semantic_preconditions,external_validation_obligation,proof_family_ids,task_ids,minimal_counterexample_test,proof_status
D015,02 法源、解释与类案研究,所引案例是否真的支持当前命题，能否准确定位引用？,语义/经验混合（仍有必证结构）,每个引用命题保留span与已核准语义支持边；支持图闭合后才可升级声明,来源解释/蕴涵见证获得独立审核或受限语言证明,任意自然语言是否支持论点,M02;M04;M06;M16,EXT03;EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T05;T06;T20;T22;T24,案号真实但只支持相反观点，不准当正向依据,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D016,02 法源、解释与类案研究,判例被推翻或限制时，原引文还能否支撑结论？,法律条件计算优先（须显式政策）,先例效力图与引用时点关联；过时支持路径失效并重新计算受影响结论,推翻/限制的范围、法域和争点由法源解释,判例效力材料是否齐全,M02;M03;M10;M16,EXT09;ROOT06;ROOT08;T01;T03;T08;T16;T17;T18;T19;T20;T22;T24,推翻一个争点不得删除该案所有无关论点，亦不得保留被推翻点,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D017,02 法源、解释与类案研究,应适用普通法还是UCC等特别法律框架？,法律条件计算优先（须显式政策）,LegalFramework候选按管辖、标的、冲突法及适用条件筛选，保留未决分支,普通法/UCC等适用条件准入,混合合同性质的法律判断,M02;M03;M08;M16,EXT09;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T20;T22;T24,不能按英文合同或美国当事人自动选UCC,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D018,02 法源、解释与类案研究,不同法域并购申报规则如何比较并保留法域区别？,法律条件计算优先（须显式政策）,跨法域比较保持每个域的主体/阈值/时间/效果；无保持映射则返回差异见证,各域源与比较维度已核验,无损迁移或制度等同性的开放判断,M01;M02;M11;M16,EXT04;EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T09;T20;T22;T24,将申报门槛相同误当申报后果相同须被区分,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D019,03 证据内容、事件与冲突,文本中发生了哪些法律事件，其触发词和范围在哪里？,语义/经验混合（仍有必证结构）,"Event(type,actors,object,span)均回指原文；标签映射无碰撞",事件schema和分词/跨度规范冻结,触发词识别召回与事件理解,M01;M04;M16,EXT09;REV02;ROOT02;ROOT03;ROOT06;ROOT08;T01;T02;T03;T22;T24,触发词来自引述假设，不得变成已发生事件,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D020,03 证据内容、事件与冲突,事件参与人、对象与案件阶段是否对应正确？,法律条件计算优先（须显式政策）,事件参与人、对象、法律阶段与证据地位逐边绑定,角色关系与阶段政策已确认,多主体指代消解,M01;M03;M04;M16,EXT09;REV02;ROOT02;ROOT03;ROOT06;ROOT08;T01;T02;T03;T16;T17;T18;T19;T22;T24,前案被害人不得由位置默认绑定到本案,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D021,03 证据内容、事件与冲突,多份材料能否组成有出处的时间线，而非补写不存在的日期？,法律条件计算优先（须显式政策）,明确日期形成偏序；无日期标为区间/未知，输出时间线为有效拓扑排序,时区、日期解释、先后证据规则明确,事件日期与先后关系提取,M03;M04;M10;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T08;T16;T17;T18;T19;T20;T22;T24,没有时间的事件不凭叙述顺序补造精确日期,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D022,03 证据内容、事件与冲突,陈述、邮件和记录之间有哪些实质矛盾或含混？,语义/经验混合（仍有必证结构）,给出矛盾需明确命题、同一主体/时间及不相容见证；含混保留多解释,Contrary关系和共同语境已定义,冲突发现召回与语用解释,M04;M06;M11;M16,EXT03;EXT04;EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T05;T06;T09;T22;T24,两个不同时点地址不能自动判为同一时点矛盾,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D023,03 证据内容、事件与冲突,哪些结论缺少直接材料，哪些只是文书没有记载？,法律条件计算优先（须显式政策）,missing_support(q)不推出¬q；无记录与否定证据构造分开,只在声明的完整记录范围内允许负查询,现实证据是否存在与可取得,M04;M05;M07;M16,EXT05;EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T04;T16;T17;T18;T19;T22;T24,材料未附付款凭证不得推出肯定未付款,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D024,03 证据内容、事件与冲突,回答是否能定位到支持该答案的原句？,机械精化优先（给定结构输入）,每个答案的支持片段存在、边界合法且链到对应命题；冗余支持可保留,自然语言支持判断已审核或受限解释器可判定,标注忠实性及遗漏支持,M02;M04;M05;M16,EXT05;EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T04;T20;T22;T24,给正确答案但引用无关原句，不通过支持检查,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D025,03 证据内容、事件与冲突,“是”“否”“不知道”是否保持区别？,机械精化优先（给定结构输入）,true/false/unknown/conflict（或现有状态的等价投影）不互相强转,否定形式、开放/闭世界范围明确,实际认定可靠性,M04;M07;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T22;T24,unknown进if分支当False产生否定结论须拦截,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D026,03 证据内容、事件与冲突,记录中的主张、证据内容与法院认定是否被区分？,法律条件计算优先（须显式政策）,asserted/evidenceContent/adjudicated分别带来源和用途；不得隐式升格,机构认定有效使用范围和本地分析权限,证据真实与机构身份核验,M01;M04;M07;M16,EXT09;REV02;ROOT02;ROOT03;ROOT06;ROOT08;T01;T02;T03;T16;T17;T18;T19;T22;T24,原告诉称不得经摘要变成法院查明,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D027,03 证据内容、事件与冲突,现有文本事实能否支持拟写的审理事实段？,语义/经验混合（仍有必证结构）,事实段的受保护命题包含于准入事实或明确条件语义；保留未决项,被保护命题提取与模板投影明确定义,自由叙事是否漏义、误义,M04;M05;M13;M16,EXT05;EXT09;ROOT03;ROOT05;ROOT06;ROOT08;T01;T03;T04;T22;T24,把未确认行为改写为既成事实应使语义差量失败,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D028,03 证据内容、事件与冲突,是否把前科、其他案件与本次被诉事实混在一起？,机械精化优先（给定结构输入）,每个行为带case/event作用域；历史经历只能经指定规则进入本次分析,前科和本案归责作用明确,跨段指代与案情核验,M01;M03;M04;M16,EXT09;REV02;ROOT02;ROOT03;ROOT06;ROOT08;T01;T02;T03;T16;T17;T18;T19;T22;T24,过去抢劫经历不能直接加入本次危险驾驶罪名清单,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D029,04 请求权、抗辩及争点处理,从原告事实可以拟出哪些诉讼请求，主给付与附随费用如何分开？,语义/经验混合（仍有必证结构）,请求候选=给定事实与规则允许的remedy组合；主给付/附随费保持独立债项,请求基础、并列/备位及费用政策准入,诉请策略、文本到请求理解,M08;M11;M13;M16,EXT04;EXT09;ROOT05;ROOT06;ROOT08;T01;T09;T16;T17;T18;T19;T22;T24,互斥备位请求不能默认同时全额受偿,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D030,04 请求权、抗辩及争点处理,实际提出的诉请与依法可能获得支持的请求是否区分？,法律条件计算优先（须显式政策）,FiledClaims、AllowedClaims、SupportedClaims、AwardedClaims为不同对象并显式连接,阶段与所问集合明确,历史金标只是实际诉请或裁判，不给全解覆盖,M08;M16,EXT09;ROOT06;ROOT08;T01;T16;T17;T18;T19;T22;T24,生成与原告诉请相同不获得全部合法请求证书,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D031,04 请求权、抗辩及争点处理,被告称款项属于投资而非借款时，应形成哪个争点？,语义/经验混合（仍有必证结构）,借贷与投资等备选法律关系是相互关联的情景，分别导出前提与结果,款项性质解释及证据规则已确认,合同实质关系认定,M04;M07;M08;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T22;T24,不得把被告的投资抗辩既当承认借款又作相反事实,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D032,04 请求权、抗辩及争点处理,主张履行、已付款、合同无效和其他法律关系如何分支？,法律条件计算优先（须显式政策）,分支共享身份、输入版本，保留成立/履行/无效/清偿等相容性约束,无效与清偿等法律后果关系明定,事实认定与解释选择,M06;M07;M08;M16,EXT03;EXT09;ROOT06;ROOT08;T01;T05;T06;T16;T17;T18;T19;T22;T24,在有效分支取本金规则、无效分支取收益规则拼接不合法结果,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D033,04 请求权、抗辩及争点处理,借贷中时效争议是否存在，而不是法院自动消灭债权？,法律条件计算优先（须显式政策）,时效到期、抗辩提出、后续承诺及期间变化分别计算；到期不自动删债权,适用时效制度及中止中断前提明确,知悉时间和请求行为证明,M03;M07;M10;M16,EXT09;ROOT06;ROOT08;T01;T08;T16;T17;T18;T19;T20;T22;T24,只有到期，无抗辩提出，不自动按时效驳回,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D034,04 请求权、抗辩及争点处理,原告、被告各自提出的事实与反驳如何组织为焦点？,法律条件计算优先（须显式政策）,Issue图分别链接主张、反驳、责任主体、支持集及攻击靶点,各争点证明责任政策明定,焦点发现是否齐全,M05;M06;M07;M16,EXT03;EXT05;EXT09;ROOT06;ROOT08;T01;T04;T05;T06;T16;T17;T18;T19;T22;T24,把反驳未成立当作对方主张已证明，须拒绝此跳步,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D035,04 请求权、抗辩及争点处理,答辩是否回应现有请求和证据，而非虚构承认或抗辩？,语义/经验混合（仍有必证结构）,每个答辩命题链接所回应请求/证据；新承认必须有单独授权来源,代理权限和可用抗辩政策,答辩质量、论证充分性,M05;M08;M13;M16,EXT05;EXT09;ROOT05;ROOT06;ROOT08;T01;T04;T16;T17;T18;T19;T22;T24,模板中无来源的债务承认应触发审查而非静默写入,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D036,04 请求权、抗辩及争点处理,同一侵权请求的责任、比例、给付方式与结论能否衔接？,法律条件计算优先（须显式政策）,责任主体、方式、份额与金额由同一责任模型联算,责任方式、追偿和赔偿项目规则准入,比例评价与损害事实,M08;M09;M11;M16,EXT04;EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,连带责任外部给付与内部份额不得混为每人比例给付,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D037,05 刑事定罪、量刑与多被告,应匹配哪些罪名标签，是否存在多罪而非单一分类？,语义/经验混合（仍有必证结构）,每被告罪名集合满足选定要件/阻却/竞合政策；输出标签与语义双向映射,刑法版本及采用的教义学结构已明确,构成要件事实与开放概念,M06;M08;M16,EXT03;EXT09;ROOT06;ROOT08;T01;T05;T06;T16;T17;T18;T19;T22;T24,单标签接口不得悄悄丢掉第二项合法罪名候选,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D038,05 刑事定罪、量刑与多被告,法条类别ID对应哪一个法条，索引是否正确转换？,机械精化优先（给定结构输入）,encode/decode满足标签往返；标签ID、法条编号、款项保持不同类型,实际数据版本的词典冻结,词典来源及时效核验,M01;M02;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T20;T22;T24,law.txt第1项不自动打印为刑法第1条,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D039,05 刑事定罪、量刑与多被告,有期、无期和死刑是否采用不同类型而非普通数值？,机械精化优先（给定结构输入）,刑种为和类型；Term(months)、Life、Death等不可用普通加法混算,刑种组合与计算规则单独注册,刑种适用的实质判断,M01;M09;M16,EXT09;REV02;ROOT02;ROOT04;ROOT06;ROOT08;T01;T02;T08;T09;T10;T22;T24,−1/−2哨兵不进入刑期均值或罚金计算,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D040,05 刑事定罪、量刑与多被告,有无给定法条文本时，刑期预测条件有何不同？,语义/经验混合（仍有必证结构）,预测目标及输入特征预算固定；有法条/无法条为两个配置，不混分母,时间切分、标签模型与法条可得性,真实留出准确性和漂移,M12;M16,EXT06;EXT07;EXT09;ROOT06;ROOT08;T01;T12;T13;T14;T15;T22;T24,有金标法条的预测分数不可标为无依据独立定罪能力,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D041,05 刑事定罪、量刑与多被告,多被告罪名与刑期是否分别对应正确主体？,机械精化优先（给定结构输入）,逐被告构成、情节、刑罚映射共同身份保持，集合结果可独立检查,个别化量刑与共同责任规则,事实归属核验,M01;M06;M09;M16,EXT03;EXT09;REV02;ROOT02;ROOT04;ROOT06;ROOT08;T01;T02;T05;T06;T08;T09;T10;T22;T24,互换姓名仍维持全案金额/刑期合计但检查须失败,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D042,05 刑事定罪、量刑与多被告,案件级结果是否全部一致，而非平均分掩盖一个被告错配？,机械精化优先（给定结构输入）,"CaseCorrect=∀d∈RequiredDefendants,Correct_d∧RelationConsistency；不足者显式未决",RequiredDefendants来自独立案卷清单,案卷被告是否穷尽,M01;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T22;T24,逐人平均99%不得声称每名被告都正确,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D043,05 刑事定罪、量刑与多被告,裁判文书中的刑期、罚金与裁判主文是否一致？,机械精化优先（给定结构输入）,主文中刑种、期间、罚金等投影等于核验后的结构记录,模板与显示单位、涉数政策明定,额外叙事内容审核,M09;M13;M16,EXT09;ROOT04;ROOT05;ROOT06;ROOT08;T01;T08;T09;T10;T22;T24,结构罚金5000，正文误写50000应被回读发现,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D044,05 刑事定罪、量刑与多被告,定罪所用法条、理由和结论是否前后一致？,语义/经验混合（仍有必证结构）,每项定罪结论有对应理由/规则路径；自由文书不得添加无路径罪名,理由结构与实际适用法条准入,法律解释充分性,M02;M06;M13;M16,EXT03;EXT09;ROOT05;ROOT06;ROOT08;T01;T03;T05;T06;T20;T22;T24,理由解释一罪、主文出现另一罪不因文风相似而通过,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D045,05 刑事定罪、量刑与多被告,犯罪金额需要计入哪些项目，能否正确归属后再相加？,法律条件计算优先（须显式政策）,计入金额前逐项验证财物/行为/主体归属及可加性；同源财物去重复,犯罪数额认定与计价规则明确,财物价值、次数和归属证明,M01;M08;M09;M16,EXT09;REV02;ROOT02;ROOT04;ROOT06;ROOT08;T01;T02;T08;T09;T10;T16;T17;T18;T19;T22;T24,赃款在两份记录出现不得加两遍,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D046,05 刑事定罪、量刑与多被告,传闻证据规则问题是否满足其具体要件和例外？,语义/经验混合（仍有必证结构）,在指定美国证据法版本内，逐要件/例外/用途给出允许或未决分支,法域、法庭程序和证据用途固定,陈述目的及例外事实认定,M02;M06;M07;M16,EXT03;EXT09;ROOT06;ROOT08;T01;T03;T05;T06;T16;T17;T18;T19;T20;T22;T24,不得把美国传闻标签直接变成中国证据排除结论,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D047,06 借贷、担保与共同债务,借款是否实际交付，是否已经清偿？,语义/经验混合（仍有必证结构）,交付事实与清偿事实分别进入责任链；输出对应认定/假设条件,借款成立、生效和清偿政策明确,银行记录真实性、资金用途,M04;M07;M08;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T22;T24,出借记录不能自动证明后来未清偿,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D048,06 借贷、担保与共同债务,还款用于本金还是利息，能否识别抵充对象？,机械精化优先（给定结构输入）,抵充账本按准入顺序更新；每笔分配非负且不超过该笔付款，可追踪余额,约定/法定抵充规则与本息项目明确,实际付款和指定用途,M08;M09;M16,EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,同一还款同时全额扣本金、又全额扣利息应拒绝,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D049,06 借贷、担保与共同债务,借期利息、逾期利率、违约金各有什么约定？,法律条件计算优先（须显式政策）,借期利息、逾期利息、违约金分别形成计算组件，组合受适用政策限制,约定有效性与重叠项目规则,条款含义和实际违约期间,M03;M09;M16,EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,相似百分比不能默认三项全叠加,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D050,06 借贷、担保与共同债务,是否存在保证或物保，主体、登记、交付是否清楚？,法律条件计算优先（须显式政策）,保证/抵押/质押以不同法律关系、设立事件、效力与救济表示,特定担保类型法源及物权成立条件,登记/交付事实与担保文件核验,M01;M03;M08;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T16;T17;T18;T19;T22;T24,签担保文件不自动证明登记完成或财产已交付,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D051,06 借贷、担保与共同债务,公司担保是否经过内部决议，是否涉及分支机构或对外担保？,法律条件计算优先（须显式政策）,决议存在、程序、代表权限及担保效力分别建谓词并按规则连接,公司类型、担保类型和适用时间明确,善意/应知等判断,M01;M03;M07;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T16;T17;T18;T19;T22;T24,仅无决议字段不得由一条统一规则宣布所有担保无效,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D052,06 借贷、担保与共同债务,法定代表人以自己名义签约时责任主体如何标注？,法律条件计算优先（须显式政策）,签字人、名义、代表关系、合同当事人和责任人分别编码,代理/代表和合同解释准入,签署意图、相对人认识,M01;M03;M08;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T16;T17;T18;T19;T22;T24,签名文本为自然人名不自动由其个人承担全部合同义务,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D053,06 借贷、担保与共同债务,配偶是否签字、是否共同举债及用于共同生活/经营？,语义/经验混合（仍有必证结构）,婚姻期间、签字、共同意思、用途和债务归属为独立争点,夫妻债务规则及特殊责任分配明定,用途、共同举债意思的事实证明,M01;M07;M08;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T16;T17;T18;T19;T22;T24,婚内借款不自动推出夫妻共同债务,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D054,06 借贷、担保与共同债务,主张公司人格混同或连带责任时，哪些事实材料支持？,语义/经验混合（仍有必证结构）,公司关系证据形成支持图；人格混同等评价与连带后果单独规则连接,穿透责任适用条件和证明责任,开放法律评价与真实关系调查,M01;M05;M08;M16,EXT05;EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T04;T16;T17;T18;T19;T22;T24,共用电话不直接生成无限连带责任边,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D055,06 借贷、担保与共同债务,资金是否来自金融机构贷款，现金出借能力和惯例有无材料？,语义/经验混合（仍有必证结构）,资金来源和现金能力是有来源的事实候选；不足即未证而非虚构负事实,所涉法律关系及来源限制政策明确,出借能力、惯例及贷款来源真实性,M02;M04;M07;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T20;T22;T24,收入低不自动证明不可能现金出借,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D056,06 借贷、担保与共同债务,律师费、诉讼费等承担约定和请求是否被明确区分？,法律条件计算优先（须显式政策）,律师费、诉讼费、保全费等使用独立债项/基础/受益人/请求状态,转嫁费用条件、法院收费与委托收费区分,合理性与实际支付证明,M08;M09;M13;M16,EXT09;ROOT04;ROOT05;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,自身工时报价不能自动作为对方应赔律师费,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D057,07 侵权责任与损害,发生的纠纷属于哪一种侵权类型？,语义/经验混合（仍有必证结构）,侵权类型候选按要件选择，开放残余不强制塞既有类别,类型库范围与一般/特别规则准入,侵权类型解释,M02;M04;M08;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T20;T22;T24,分类器不认识的新情形不能返回无任何请求权,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D058,07 侵权责任与损害,不同当事人的行为、损害、因果联系与过错如何组织？,语义/经验混合（仍有必证结构）,行为—损害—因果—过错是类型化关系；统计因果与法律归责分层,实体归责规则与因果模型分别明确,因果假设、损害及过错事实,M01;M06;M12;M16,EXT03;EXT06;EXT07;EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T05;T06;T12;T13;T14;T15;T22;T24,相关性显著不直接推出法律上的相当因果或责任,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
