source_id,jurisdiction,source_type,complexity_proxy,location,stage,overhead,travel,total_hours_or_fee,data_quality,limitations,url_or_reference
CN-LAW-034,CN-Shaanxi,fee_award,legal_aid_criminal_local,Shaanxi,trial,0,0,1500-3000,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-035,CN-Shaanxi,fee_award,legal_aid_civil_local,Shaanxi,trial,0,0,2000-3000,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-036,CN-Shaanxi,fee_award,legal_aid_criminal_cross_city,Shaanxi,trial,0,0,2500-4000,fee_award_range,"Not real timesheet; legal aid subsidy range with location supplement; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-037,CN-Shaanxi,fee_award,legal_aid_civil_cross_city,Shaanxi,trial,0,0,3000-4500,fee_award_range,"Not real timesheet; legal aid subsidy range with location supplement; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-038,CN-Shaanxi,fee_award,legal_aid_cross_province_max,Shaanxi,trial,0,0,8000,fee_award_fixed,"Not real timesheet; legal aid subsidy cap for cross-province; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-039,CN-Hengyang,fee_award,legal_aid_criminal_investigation,Hengyang,investigation,0,0,600-1300,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-040,CN-Hengyang,fee_award,legal_aid_criminal_prosecution,Hengyang,prosecution,0,0,700-1900,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-041,CN-Hengyang,fee_award,legal_aid_criminal_trial,Hengyang,trial,0,0,1500-2700,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-042,CN-Hengyang,fee_award,legal_aid_civil_trial,Hengyang,trial,0,0,1500-3000,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-043,CN-Hengyang,fee_award,legal_aid_execution,Hengyang,execution,0,0,800-1800,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-044,CN-Hongjiang,fee_award,legal_aid_criminal,Hongjiang,trial,0,0,1500-2500,fee_award_range,"Not real timesheet; legal aid subsidy range from actual payment公示; no effective_nodes metric; no overhead/travel breakdown","https://www.hjs.gov.cn/hjs/c124312/202511/be4588a364ae4570b337fc4fa0254177.shtml"
CN-LAW-045,CN-Hongjiang,fee_award,legal_aid_civil,Hongjiang,trial,0,0,1500-2000,fee_award_range,"Not real timesheet; legal aid subsidy range from actual payment公示; no effective_nodes metric; no overhead/travel breakdown","https://www.hjs.gov.cn/hjs/c124312/202511/be4588a364ae4570b337fc4fa0254177.shtml"
CN-LAW-046,CN-Hulunbuir,fee_award,legal_aid_aggregate,Hulunbuir,all_stages,0,0,631_avg,fee_award_aggregate,"Not real timesheet; aggregate subsidy 9.53万/151 cases; no per-case breakdown; no effective_nodes metric; no stage/overhead/travel breakdown","https://sfj.hlbe.gov.cn/News/show/1317069.html"
CN-LAW-047,CN-Baotou,fee_award,legal_aid_criminal,Baotou,trial,0,0,800-1600,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.baotou.gov.cn/zfxxgk/fdzdgknr/fd_zcwj/202510/W020251015380952463282.doc"
CN-LAW-048,CN-Baotou,fee_award,legal_aid_civil,Baotou,trial,0,0,1000-1800,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.baotou.gov.cn/zfxxgk/fdzdgknr/fd_zcwj/202510/W020251015380952463282.doc"
CN-LAW-049,CN-Baotou,fee_award,legal_aid_duty_lawyer_daily,Baotou,consultation,0,0,200-500_per_day,fee_award_range,"Not real timesheet; daily subsidy for duty lawyer; no effective_nodes metric; no overhead/travel breakdown","https://www.baotou.gov.cn/zfxxgk/fdzdgknr/fd_zcwj/202510/W020251015380952463282.doc"
CN-COURT-001,CN-National,court_fee_schedule,property_case_10k,National,trial,0,0,50,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-002,CN-National,court_fee_schedule,property_case_100k,National,trial,0,0,2300,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-003,CN-National,court_fee_schedule,property_case_500k,National,trial,0,0,8800,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-004,CN-National,court_fee_schedule,property_case_1m,National,trial,0,0,13800,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-005,CN-National,court_fee_schedule,divorce_case,National,trial,0,0,50-300,fee_schedule_range,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-006,CN-National,court_fee_schedule,labor_dispute,National,trial,0,0,10,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
US-FEE-001,US-Nevada,fee_award,civil_rights_litigation,Nevada,trial,0,0,91645_total,fee_award_actual,"Real fee award from federal court but aggregate total only; hourly rate $250; hours reduced by 62.92; no effective_nodes metric; no location/stage/overhead/travel breakdown per dimension","https://www.sterlinganalytics.com/federal-court-reduces-fee-award-for-billing-at-quarter-hour-increments/"
US-FEE-002,US-North-Carolina,billing_guideline,partition_action,NC,trial,0,0,200-400_per_hour,billing_guideline_range,"Not real timesheet; hourly rate guideline only; no effective_nodes metric; no stage/overhead/travel breakdown","https://piercelaw.com/news/probate-question-and-answer/"
US-FEE-003,US-Federal,billing_guideline,civil_rights_EAJA,Federal,trial,0,0,125_per_hour_cap,billing_guideline_fixed,"Not real timesheet; statutory hourly rate cap; no effective_nodes metric; no stage/overhead/travel breakdown","https://www.everycrsreport.com/reports/94-970.html"
US-FEE-004,US-Oregon,billing_guideline,general_litigation,Oregon,trial,0,0,refer_to_OSB_survey,billing_guideline_reference,"Not real timesheet; reference to state bar economic survey; no specific numbers; no effective_nodes metric; no stage/overhead/travel breakdown","https://ord.uscourts.gov/index.php/rules-orders-and-notices/local-rules/civil-procedure/1805-lr-54-bill-of-costs-and-attorney-fees"
US-FEE-005,US-Federal,billing_guideline,procurement_protest,Federal,trial,0,0,150_per_hour_cap,billing_guideline_fixed,"Not real timesheet; statutory hourly rate cap; no effective_nodes metric; no stage/overhead/travel breakdown","https://www.everycrsreport.com/reports/94-970.html"
